disease_pair,correct_node,negative_samples,disease_1,disease_2,options_combined,text,disease_1_id,disease_2_id
"('atrophic gastritis', 'gastric fundus cancer')",PSCA,"EYA2, PSCA, CDKAL1, KAT2B",atrophic gastritis,gastric fundus cancer,"EYA2,  CDKAL1,  KAT2B,  PSCA, PSCA","Out of the given list, which Gene is associated with atrophic gastritis and gastric fundus cancer. Given list is: EYA2,  CDKAL1,  KAT2B,  PSCA, PSCA",DOID:8929,DOID:10538
"('nephrotic syndrome', 'oropharynx cancer')",HLA-DQB1,"VAV3, PRKAG2, PNPLA3, SYT14",nephrotic syndrome,oropharynx cancer," PRKAG2,  SYT14, VAV3, HLA-DQB1,  PNPLA3","Out of the given list, which Gene is associated with nephrotic syndrome and oropharynx cancer. Given list is:  PRKAG2,  SYT14, VAV3, HLA-DQB1,  PNPLA3",DOID:1184,DOID:8557
"('rheumatoid arthritis', 'myositis')",PTPN22,"BARD1, STAT3, C5AR1, PRKN",rheumatoid arthritis,myositis," STAT3, BARD1, PTPN22,  PRKN,  C5AR1","Out of the given list, which Gene is associated with rheumatoid arthritis and myositis. Given list is:  STAT3, BARD1, PTPN22,  PRKN,  C5AR1",DOID:7148,DOID:633
"('immunoglobulin alpha deficiency', 'cervix carcinoma')",HLA-DQA1,"HLA-DPB1, CLPTM1L, STAT3, ABO",immunoglobulin alpha deficiency,cervix carcinoma," CLPTM1L,  STAT3, HLA-DQA1,  ABO, HLA-DPB1","Out of the given list, which Gene is associated with immunoglobulin alpha deficiency and cervix carcinoma. Given list is:  CLPTM1L,  STAT3, HLA-DQA1,  ABO, HLA-DPB1",DOID:0060025,DOID:2893
"('duodenal ulcer', 'pancreatic carcinoma')",ABO,"KALRN, CFH, STAT6, YLPM1",duodenal ulcer,pancreatic carcinoma," YLPM1,  CFH, ABO, KALRN,  STAT6","Out of the given list, which Gene is associated with duodenal ulcer and pancreatic carcinoma. Given list is:  YLPM1,  CFH, ABO, KALRN,  STAT6",DOID:1724,DOID:4905
"('lung adenocarcinoma', 'lung carcinoma')",TERT,"IL23R, JRK, SLC2A9, PHACTR1",lung adenocarcinoma,lung carcinoma,"TERT, IL23R,  PHACTR1,  SLC2A9,  JRK","Out of the given list, which Gene is associated with lung adenocarcinoma and lung carcinoma. Given list is: TERT, IL23R,  PHACTR1,  SLC2A9,  JRK",DOID:3910,DOID:3905
"('cervix carcinoma', 'autoimmune hepatitis')",HLA-DQA1,"CHST11, FAT3, ERAP1, IL6",cervix carcinoma,autoimmune hepatitis,"CHST11,  FAT3,  IL6,  ERAP1, HLA-DQA1","Out of the given list, which Gene is associated with cervix carcinoma and autoimmune hepatitis. Given list is: CHST11,  FAT3,  IL6,  ERAP1, HLA-DQA1",DOID:2893,DOID:2048
"('epilepsy', 'focal epilepsy')",SCN1A,"HAAO, NEURL1, MYBPC3, CLDN14",epilepsy,focal epilepsy," NEURL1, SCN1A, HAAO,  CLDN14,  MYBPC3","Out of the given list, which Gene is associated with epilepsy and focal epilepsy. Given list is:  NEURL1, SCN1A, HAAO,  CLDN14,  MYBPC3",DOID:1826,DOID:2234
"(""Hodgkin's lymphoma, nodular sclerosis"", ""Hodgkin's lymphoma"")",GATA3,"HLA-DQB2, CFH, FADS2, TM6SF2","Hodgkin's lymphoma, nodular sclerosis",Hodgkin's lymphoma,"HLA-DQB2,  FADS2, GATA3,  TM6SF2,  CFH","Out of the given list, which Gene is associated with Hodgkin's lymphoma, nodular sclerosis and Hodgkin's lymphoma. Given list is: HLA-DQB2,  FADS2, GATA3,  TM6SF2,  CFH",DOID:8838,DOID:8567
"(""Takayasu's arteritis"", 'psoriasis')",HLA-B,"RGS14, CACNA1C, ABCG2, PTPN22",Takayasu's arteritis,psoriasis," ABCG2, HLA-B,  CACNA1C, RGS14,  PTPN22","Out of the given list, which Gene is associated with Takayasu's arteritis and psoriasis. Given list is:  ABCG2, HLA-B,  CACNA1C, RGS14,  PTPN22",DOID:2508,DOID:8893
"('idiopathic pulmonary fibrosis', 'lung adenocarcinoma')",TERT,"HLA-B, PSCA, CFH, USHBP1",idiopathic pulmonary fibrosis,lung adenocarcinoma,"HLA-B,  CFH,  PSCA, TERT,  USHBP1","Out of the given list, which Gene is associated with idiopathic pulmonary fibrosis and lung adenocarcinoma. Given list is: HLA-B,  CFH,  PSCA, TERT,  USHBP1",DOID:0050156,DOID:3910
"('lung squamous cell carcinoma', 'estrogen-receptor negative breast cancer')",BRCA2,"CACNA2D1, STAT4, ATXN2, KIF1B",lung squamous cell carcinoma,estrogen-receptor negative breast cancer," STAT4, CACNA2D1,  KIF1B,  ATXN2, BRCA2","Out of the given list, which Gene is associated with lung squamous cell carcinoma and estrogen-receptor negative breast cancer. Given list is:  STAT4, CACNA2D1,  KIF1B,  ATXN2, BRCA2",DOID:3907,DOID:0060076
"('differentiated thyroid gland carcinoma', 'thyroid gland papillary carcinoma')",VAV3,"CHEK2, ITPA, PLG, CRTC1",differentiated thyroid gland carcinoma,thyroid gland papillary carcinoma," ITPA, CHEK2,  CRTC1,  PLG, VAV3","Out of the given list, which Gene is associated with differentiated thyroid gland carcinoma and thyroid gland papillary carcinoma. Given list is:  ITPA, CHEK2,  CRTC1,  PLG, VAV3",DOID:0080525,DOID:3969
"('interstitial lung disease', 'central nervous system cancer')",TERT,"SLC14A2, FGFR2, HLA-DQA1, GTF2I",interstitial lung disease,central nervous system cancer," FGFR2, TERT,  HLA-DQA1,  GTF2I, SLC14A2","Out of the given list, which Gene is associated with interstitial lung disease and central nervous system cancer. Given list is:  FGFR2, TERT,  HLA-DQA1,  GTF2I, SLC14A2",DOID:3082,DOID:3620
"('pancreatic carcinoma', 'oral cavity cancer')",CLPTM1L,"CRTC1, COL22A1, CHST11, GCKR",pancreatic carcinoma,oral cavity cancer," GCKR, CLPTM1L,  CHST11, CRTC1,  COL22A1","Out of the given list, which Gene is associated with pancreatic carcinoma and oral cavity cancer. Given list is:  GCKR, CLPTM1L,  CHST11, CRTC1,  COL22A1",DOID:4905,DOID:8618
"('diffuse large B-cell lymphoma', 'myelodysplastic syndrome')",HLA-B,"HLA-DQA1, IL23R, TERT, TNXB",diffuse large B-cell lymphoma,myelodysplastic syndrome," IL23R,  TERT, HLA-B, HLA-DQA1,  TNXB","Out of the given list, which Gene is associated with diffuse large B-cell lymphoma and myelodysplastic syndrome. Given list is:  IL23R,  TERT, HLA-B, HLA-DQA1,  TNXB",DOID:0050745,DOID:0050908
"('cervix carcinoma', 'membranous glomerulonephritis')",HLA-DQA1,"CAPN14, TNIP1, WNT4, DTNB",cervix carcinoma,membranous glomerulonephritis,"HLA-DQA1,  WNT4,  TNIP1, CAPN14,  DTNB","Out of the given list, which Gene is associated with cervix carcinoma and membranous glomerulonephritis. Given list is: HLA-DQA1,  WNT4,  TNIP1, CAPN14,  DTNB",DOID:2893,DOID:10976
"('oropharynx cancer', 'oral cavity cancer')",HLA-DQB1,"MYBPC3, KIF1B, DGKK, HLA-B",oropharynx cancer,oral cavity cancer,"MYBPC3,  KIF1B,  DGKK, HLA-DQB1,  HLA-B","Out of the given list, which Gene is associated with oropharynx cancer and oral cavity cancer. Given list is: MYBPC3,  KIF1B,  DGKK, HLA-DQB1,  HLA-B",DOID:8557,DOID:8618
"('estrogen-receptor negative breast cancer', 'idiopathic pulmonary fibrosis')",TERT,"PHGDH, SFRP4, IL23R, BTBD9",estrogen-receptor negative breast cancer,idiopathic pulmonary fibrosis," IL23R,  BTBD9,  SFRP4, PHGDH, TERT","Out of the given list, which Gene is associated with estrogen-receptor negative breast cancer and idiopathic pulmonary fibrosis. Given list is:  IL23R,  BTBD9,  SFRP4, PHGDH, TERT",DOID:0060076,DOID:0050156
"('idiopathic pulmonary fibrosis', 'myeloproliferative neoplasm')",TERT,"STAT4, ADGRV1, UMPS, UMOD",idiopathic pulmonary fibrosis,myeloproliferative neoplasm,"STAT4,  UMOD,  ADGRV1,  UMPS, TERT","Out of the given list, which Gene is associated with idiopathic pulmonary fibrosis and myeloproliferative neoplasm. Given list is: STAT4,  UMOD,  ADGRV1,  UMPS, TERT",DOID:0050156,DOID:2226
"('autoimmune hepatitis', 'immunoglobulin alpha deficiency')",HLA-DQA1,"HLA-DQA1, PLA2R1, UCK2, HLA-DQB1",autoimmune hepatitis,immunoglobulin alpha deficiency,"HLA-DQA1,  HLA-DQB1,  UCK2,  PLA2R1, HLA-DQA1","Out of the given list, which Gene is associated with autoimmune hepatitis and immunoglobulin alpha deficiency. Given list is: HLA-DQA1,  HLA-DQB1,  UCK2,  PLA2R1, HLA-DQA1",DOID:2048,DOID:0060025
"(""Sjogren's syndrome"", 'systemic scleroderma')",STAT4,"JAK2, HLA-DQB1, BTN3A1, TGM2",Sjogren's syndrome,systemic scleroderma," BTN3A1,  HLA-DQB1, JAK2,  TGM2, STAT4","Out of the given list, which Gene is associated with Sjogren's syndrome and systemic scleroderma. Given list is:  BTN3A1,  HLA-DQB1, JAK2,  TGM2, STAT4",DOID:12894,DOID:418
"('immunoglobulin alpha deficiency', 'collagenous colitis')",HLA-DQA1,"GATA3, CHEK2, SNTB1, HLA-DRB5",immunoglobulin alpha deficiency,collagenous colitis,"GATA3, HLA-DQA1,  SNTB1,  CHEK2,  HLA-DRB5","Out of the given list, which Gene is associated with immunoglobulin alpha deficiency and collagenous colitis. Given list is: GATA3, HLA-DQA1,  SNTB1,  CHEK2,  HLA-DRB5",DOID:0060025,DOID:0060183
"('membranous glomerulonephritis', 'cervix carcinoma')",HLA-DQA1,"HLA-DQA1, PSCA, KALRN, HLA-DRB5",membranous glomerulonephritis,cervix carcinoma," PSCA, HLA-DQA1,  KALRN, HLA-DQA1,  HLA-DRB5","Out of the given list, which Gene is associated with membranous glomerulonephritis and cervix carcinoma. Given list is:  PSCA, HLA-DQA1,  KALRN, HLA-DQA1,  HLA-DRB5",DOID:10976,DOID:2893
"('nephrotic syndrome', 'autoimmune hepatitis')",HLA-DQB1,"SLC2A9, TNIP1, CSNK2B, CACNA1C",nephrotic syndrome,autoimmune hepatitis," TNIP1,  CACNA1C, SLC2A9, HLA-DQB1,  CSNK2B","Out of the given list, which Gene is associated with nephrotic syndrome and autoimmune hepatitis. Given list is:  TNIP1,  CACNA1C, SLC2A9, HLA-DQB1,  CSNK2B",DOID:1184,DOID:2048
"('myeloproliferative neoplasm', 'central nervous system cancer')",TERT,"WNT4, ADH1B, VAV3, GATA3",myeloproliferative neoplasm,central nervous system cancer,"WNT4, TERT,  VAV3,  ADH1B,  GATA3","Out of the given list, which Gene is associated with myeloproliferative neoplasm and central nervous system cancer. Given list is: WNT4, TERT,  VAV3,  ADH1B,  GATA3",DOID:2226,DOID:3620
"('sclerosing cholangitis', 'endometrial cancer')",ATXN2,"PLA2G6, RP1, FADS2, VRK2",sclerosing cholangitis,endometrial cancer," FADS2,  RP1, ATXN2,  VRK2, PLA2G6","Out of the given list, which Gene is associated with sclerosing cholangitis and endometrial cancer. Given list is:  FADS2,  RP1, ATXN2,  VRK2, PLA2G6",DOID:14268,DOID:1380
"('collagenous colitis', 'immunoglobulin alpha deficiency')",HLA-DQA1,"RELN, EPAS1, KIT, MYH7",collagenous colitis,immunoglobulin alpha deficiency," EPAS1,  MYH7, RELN, HLA-DQA1,  KIT","Out of the given list, which Gene is associated with collagenous colitis and immunoglobulin alpha deficiency. Given list is:  EPAS1,  MYH7, RELN, HLA-DQA1,  KIT",DOID:0060183,DOID:0060025
"(""Takayasu's arteritis"", 'allergic rhinitis')",HLA-B,"HLA-DQB2, TNRC6B, FAM13A, CRTC1",Takayasu's arteritis,allergic rhinitis,"HLA-DQB2,  CRTC1,  FAM13A,  TNRC6B, HLA-B","Out of the given list, which Gene is associated with Takayasu's arteritis and allergic rhinitis. Given list is: HLA-DQB2,  CRTC1,  FAM13A,  TNRC6B, HLA-B",DOID:2508,DOID:4481
"('diffuse large B-cell lymphoma', 'marginal zone lymphoma')",KALRN,"VAV3, WNT10A, IL12RB2, HLA-DPA1",diffuse large B-cell lymphoma,marginal zone lymphoma," HLA-DPA1, VAV3, KALRN,  IL12RB2,  WNT10A","Out of the given list, which Gene is associated with diffuse large B-cell lymphoma and marginal zone lymphoma. Given list is:  HLA-DPA1, VAV3, KALRN,  IL12RB2,  WNT10A",DOID:0050745,DOID:0050748
